TravelCode,UserID,Departure,Arrival,Hotel,Rating,BedroomType,PricePerNight,Adults,Children,TotalBedrooms,TotalPricePerNight,Amenities,StayingDays,TotalCost,CheckOut,CheckIn
38,0,Ahmedabad,Srinagar,"Radisson Collection Hotel & Spa, Riverfront Srinagar",5,Deluxe,10233,3,2,3,30699,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Limousine Service']",1,30699,19-06-2020,18-06-2020
39,0,Gwalior,Delhi NCR,Radisson Blu Plaza Delhi Airport,5,Deluxe,11211,3,1,2,22422,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",2,44844,27-06-2020,25-06-2020
42,0,Bengaluru,Raipur,Hotel Shamrock Greens,4,Deluxe,6983,2,2,2,13966,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,27932,18-07-2020,16-07-2020
43,0,Hyderabad,Ludhiana,Regenta Central Klassik,4,Executive,8186,3,2,3,24558,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",1,24558,25-07-2020,24-07-2020
45,0,Guwahati,Raigarh,Hotel Shubham,2,Suite,4047,3,1,2,8094,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",4,32376,10-08-2020,06-08-2020
51,0,Hyderabad,Raipur,Hotel Grand Imperia,3,Deluxe,4847,2,2,2,9694,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",2,19388,19-09-2020,17-09-2020
53,0,Bilaspur,Indore,Hotel President,3,Deluxe,4840,1,1,1,4840,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",1,4840,02-10-2020,01-10-2020
54,0,Raipur,Shillong,Ri Kynjai � Serenity by the Lake,4,Deluxe,7240,1,0,1,7240,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center']",2,14480,10-10-2020,08-10-2020
55,0,Puducherry,Khowai,Hotel Shankar,3,Deluxe,4343,4,1,3,13029,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",6,78174,21-10-2020,15-10-2020
57,0,Jamshedpur,Visakhapatnam,Best Western Ramachandra,3,Suite,6866,2,2,2,13732,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms', 'Bar']",4,54928,02-11-2020,29-10-2020
60,0,Nashik,Indore,Hotel Winway,3,Suite,4638,3,3,3,13914,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",4,55656,23-11-2020,19-11-2020
65,0,Mopa,Gwalior,The Central Park,3,Executive,4570,1,0,1,4570,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms', 'Bar']",5,22850,29-12-2020,24-12-2020
73,0,Prayagraj,Ahmedabad,The Leela Gandhinagar,5,Deluxe,9449,2,1,2,18898,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",4,75592,22-02-2021,18-02-2021
81,0,Khowai,Prayagraj,Hotel Ravisha Continental,3,Deluxe,4129,2,0,1,4129,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle', 'Meeting Rooms']",4,16516,19-04-2021,15-04-2021
86,0,Prayagraj,Dhubri,Galaxy Hotel,2,Deluxe,2451,3,3,3,7353,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",7,51471,28-05-2021,21-05-2021
87,0,Vadodara,Ahmedabad,Hyatt Regency Ahmedabad,5,Executive,14086,1,2,1,14086,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler']",5,70430,01-06-2021,27-05-2021
90,1,Vijayawada,Chandigarh,Hyatt Regency Chandigarh,5,Suite,14691,2,0,1,14691,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad']",3,44073,06-10-2019,03-10-2019
92,1,Ludhiana,Puri,Hotel Gandhara,2,Executive,3809,1,0,1,3809,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry', 'Coffee Maker']",3,11427,20-10-2019,17-10-2019
100,2,Raigarh,Kullu-Manali,Hotel Honeymoon Inn Manali,3,Suite,5938,2,3,2,11876,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar']",6,71256,06-11-2019,31-10-2019
101,2,Khowai,Amritsar,Ramada by Wyndham Amritsar,4,Executive,7582,2,1,2,15164,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center', 'Rooftop Lounge']",3,45492,10-11-2019,07-11-2019
105,2,Bengaluru,Mysuru,Royal Orchid Metropole,4,Suite,9321,4,3,4,37284,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",5,186420,10-12-2019,05-12-2019
108,2,Chennai,Visakhapatnam,Best Western Ramachandra,3,Deluxe,5035,1,2,1,5035,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Bar', 'Meeting Rooms']",5,25175,31-12-2019,26-12-2019
109,2,Gwalior,Khowai,Hotel Palace Inn,3,Deluxe,4913,2,0,1,4913,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",2,9826,04-01-2020,02-01-2020
110,2,Puri,Surat,Courtyard by Marriott Surat,5,Deluxe,10630,2,2,2,21260,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",4,85040,13-01-2020,09-01-2020
112,2,Ahmedabad,Srinagar,Four Points by Sheraton Srinagar,4,Suite,8968,2,1,2,17936,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna']",3,53808,26-01-2020,23-01-2020
116,2,Khowai,Shimla,Honeymoon Inn Shimla,3,Deluxe,4910,1,0,1,4910,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms']",4,19640,24-02-2020,20-02-2020
117,2,Tirupati,Amritsar,"Taj Swarna, Amritsar",5,Suite,13533,1,0,1,13533,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",7,94731,05-03-2020,27-02-2020
119,2,Ranchi,Guwahati,Hotel Daaysco Oley Allo,3,Deluxe,3595,1,2,1,3595,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",2,7190,14-03-2020,12-03-2020
122,2,Dehradun,Mumbai,Sofitel Mumbai BKC,5,Deluxe,10481,2,0,1,10481,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad']",5,52405,07-04-2020,02-04-2020
124,2,Ahmedabad,Puducherry,Hotel Bon Sejour,3,Suite,7227,4,1,3,21681,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,86724,20-04-2020,16-04-2020
125,2,Guwahati,Varanasi,Radisson Hotel Varanasi,5,Executive,11843,2,1,2,23686,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",7,165802,30-04-2020,23-04-2020
135,2,Puri,Kullu-Manali,The Himalayan,5,Executive,13528,1,2,1,13528,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad']",3,40584,05-07-2020,02-07-2020
137,2,Srinagar,Mysuru,Hotel Roopa,3,Suite,5704,1,0,1,5704,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle', 'Meeting Rooms']",5,28520,21-07-2020,16-07-2020
150,2,Raipur,Hyderabad,Courtyard by Marriott Hyderabad,4,Executive,7517,1,2,1,7517,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",3,22551,18-10-2020,15-10-2020
153,2,Delhi NCR,Khowai,Hotel Woodland Park,3,Suite,4592,4,0,2,9184,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",5,45920,10-11-2020,05-11-2020
156,2,Vijayawada,Mopa,Hotel Sea View,2,Deluxe,3213,2,0,1,3213,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry']",1,3213,27-11-2020,26-11-2020
160,2,Ahmedabad,Srinagar,Four Points by Sheraton Srinagar,4,Suite,8968,2,3,2,17936,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,35872,26-12-2020,24-12-2020
165,2,Mopa,Diu,Hotel Palms,3,Deluxe,5144,1,2,1,5144,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",5,25720,02-02-2021,28-01-2021
177,2,Ranchi,Bengaluru,Signature Club Resort,4,Deluxe,7584,1,1,1,7584,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",6,45504,28-04-2021,22-04-2021
180,2,Srinagar,Gangtok,The Nettle and Fern Hotel,3,Deluxe,4394,2,1,2,8788,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",2,17576,15-05-2021,13-05-2021
187,2,Prayagraj,Udaipur,Hotel Mandovin,3,Deluxe,5068,3,3,3,15204,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",6,91224,07-07-2021,01-07-2021
188,2,Itanagar,Kota,Hotel Bharat,3,Suite,4522,2,1,2,9044,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",4,36176,12-07-2021,08-07-2021
189,2,Varanasi,Jaipur,Hotel Royal Orchid Jaipur,4,Deluxe,5896,3,0,2,11792,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",3,35376,18-07-2021,15-07-2021
192,2,Dhubri,Thiruvananthapuram,Hilton Garden Inn Trivandrum,5,Executive,13316,3,3,3,39948,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",1,39948,06-08-2021,05-08-2021
197,2,Kolkata,Bhubaneswar,Mayfair Lagoon,5,Deluxe,11657,4,3,4,46628,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",7,326396,16-09-2021,09-09-2021
201,2,Mopa,Ranchi,Hotel Green Acres,3,Suite,5942,1,1,1,5942,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",7,41594,14-11-2021,07-11-2021
205,2,Gangtok,Dabolim,Hotel Cliff,2,Executive,2885,4,3,4,11540,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",6,69240,10-11-2021,04-11-2021
211,2,Shillong,Raigarh,Hotel Shreshtha,3,Deluxe,5446,1,0,1,5446,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",4,21784,20-12-2021,16-12-2021
213,2,Pune,Vadodara,Hyatt Place Vadodara,5,Suite,15044,3,2,3,45132,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",4,180528,03-01-2022,30-12-2021
214,2,Vadodara,Ludhiana,Radisson Blu Hotel MBD Ludhiana,5,Deluxe,9372,4,2,3,28116,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Helipad']",6,168696,12-01-2022,06-01-2022
219,2,Vadodara,Varanasi,Rivatas by Ideal,4,Executive,7056,3,1,2,14112,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",3,42336,13-02-2022,10-02-2022
221,2,Srinagar,Mumbai,The St. Regis Mumbai,5,Deluxe,11277,2,2,2,22554,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Private Butler', 'Limousine Service']",7,157878,03-03-2022,24-02-2022
224,2,Nashik,Ayodhya,Hotel Saryu Palace,3,Deluxe,3364,4,2,3,10092,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",4,40368,21-03-2022,17-03-2022
225,2,Amritsar,Guwahati,Hotel Daaysco Oley Allo,3,Suite,4902,3,0,2,9804,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,39216,28-03-2022,24-03-2022
233,3,Bhopal,Dehradun,Hotel Padmini Palace,3,Executive,4859,2,3,2,9718,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar']",5,48590,19-11-2019,14-11-2019
235,3,Nashik,Varanasi,Hotel Madin,4,Executive,7713,1,0,1,7713,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",5,38565,03-12-2019,28-11-2019
238,3,Bengaluru,Dhubri,Vijay Residency (Adhoc),2,Deluxe,2331,1,1,1,2331,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",4,9324,23-12-2019,19-12-2019
239,3,Jaipur,Coimbatore,Vivanta Coimbatore,4,Executive,9097,3,2,3,27291,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna']",2,54582,28-12-2019,26-12-2019
240,3,Chennai,Udaipur,The Fern Residency Udaipur,3,Suite,4978,2,1,2,9956,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Bar', 'Meeting Rooms']",7,69692,09-01-2020,02-01-2020
241,3,Kullu-Manali,Mopa,Hotel Hill Rock,3,Suite,4856,3,0,2,9712,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",2,19424,11-01-2020,09-01-2020
243,3,Khowai,Kota,Hotel Bharat,3,Executive,3920,1,1,1,3920,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",6,23520,29-01-2020,23-01-2020
244,3,Prayagraj,Gwalior,Ramaya Hotel,3,Suite,5738,4,3,4,22952,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",2,45904,01-02-2020,30-01-2020
246,3,Raipur,Prayagraj,Hotel DPS Inn,3,Executive,6168,2,3,2,12336,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",4,49344,17-02-2020,13-02-2020
248,3,Dehradun,Varanasi,Hotel Clarks Varanasi,5,Suite,14678,2,0,1,14678,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Limousine Service', 'Private Butler']",7,102746,06-03-2020,28-02-2020
255,3,Raigarh,Nashik,Express Inn Nashik,4,Suite,8052,3,3,3,24156,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",1,24156,17-04-2020,16-04-2020
259,3,Kullu-Manali,Ayodhya,Hotel Saryu Palace,3,Deluxe,3364,3,3,3,10092,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",3,30276,17-05-2020,14-05-2020
263,3,Kullu-Manali,Srinagar,Hotel Valley Orchid,3,Deluxe,4657,4,0,2,9314,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",6,55884,17-06-2020,11-06-2020
269,3,Ayodhya,Udaipur,The Fern Residency Udaipur,3,Deluxe,3651,3,0,2,7302,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",2,14604,25-07-2020,23-07-2020
275,3,Bhubaneswar,Patna,Hotel Windsor,3,Executive,4923,2,2,2,9846,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",3,29538,06-10-2020,03-10-2020
279,3,Kolkata,Jamshedpur,Hotel Jiva,3,Suite,6564,3,2,3,19692,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",4,78768,05-10-2020,01-10-2020
283,3,Bilaspur,Puducherry,Anandha Inn Convention Centre and Suites,3,Suite,7254,3,2,3,21762,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms']",6,130572,05-11-2020,30-10-2020
287,3,Jaipur,Nashik,Radisson Blu Hotel & Spa Nashik,5,Suite,14372,2,3,2,28744,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",3,86232,29-11-2020,26-11-2020
290,3,Coimbatore,Srinagar,The LaLit Grand Palace Srinagar,5,Executive,13181,4,1,3,39543,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",1,39543,18-12-2020,17-12-2020
291,3,Dabolim,Kolkata,Novotel Kolkata Hotel and Residences,5,Deluxe,11641,2,3,2,23282,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",6,139692,30-12-2020,24-12-2020
295,3,Amritsar,Kota,Hotel Kanchan Residency,3,Deluxe,5030,2,1,2,10060,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",7,70420,28-01-2021,21-01-2021
296,3,Delhi NCR,Nashik,Hotel Grand Rio,4,Suite,9614,3,2,3,28842,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna', 'Rooftop Lounge']",6,173052,03-02-2021,28-01-2021
299,3,Bhubaneswar,Dehradun,Hotel KSS Inn,3,Deluxe,3708,4,0,2,7416,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",3,22248,21-02-2021,18-02-2021
300,3,Thiruvananthapuram,Guwahati,Vivanta Guwahati,5,Deluxe,10952,1,0,1,10952,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad', 'Private Butler']",2,21904,27-02-2021,25-02-2021
303,3,Dhubri,Patna,Hotel Patliputra Exotica,4,Executive,7108,4,2,3,21324,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",1,21324,19-03-2021,18-03-2021
305,3,Tirupati,Gwalior,Regenta Place Gwalior,4,Deluxe,6096,4,3,4,24384,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",5,121920,06-04-2021,01-04-2021
306,3,Shillong,Raipur,Hotel Babylon International,4,Suite,8019,1,2,1,8019,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,24057,11-04-2021,08-04-2021
307,3,Puducherry,Pune,Conrad Pune,5,Executive,13187,3,2,3,39561,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",6,237366,21-04-2021,15-04-2021
311,3,Kota,Varanasi,Hotel Hindusthan International Varanasi,4,Suite,9231,4,3,4,36924,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge', 'Sauna']",7,258468,20-05-2021,13-05-2021
315,3,Vijayawada,Imphal,Shirui Lily Hotel,2,Executive,3757,3,2,3,11271,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry', 'Coffee Maker']",6,67626,16-06-2021,10-06-2021
322,3,Nashik,Khowai,Hotel Tripureshwari,3,Executive,4056,1,2,1,4056,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",6,24336,04-08-2021,29-07-2021
325,3,Ranchi,Srinagar,Vivanta Dal View,5,Deluxe,11745,3,3,3,35235,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Private Butler']",6,211410,25-08-2021,19-08-2021
337,3,Delhi NCR,Coimbatore,IKON by Annapoorna,4,Suite,9981,1,0,1,9981,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,19962,13-12-2021,11-12-2021
338,3,Surat,Mumbai,Trident Nariman Point,5,Deluxe,9996,4,0,2,19992,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",7,139944,25-11-2021,18-11-2021
347,3,Nashik,Gwalior,Park Inn by Radisson Gwalior,4,Executive,6952,4,0,2,13904,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,27808,23-01-2022,21-01-2022
350,3,Udaipur,Visakhapatnam,The Pioneer,3,Executive,4957,1,1,1,4957,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",5,24785,15-02-2022,10-02-2022
363,3,Kolkata,Gwalior,"Hotel Grace, Gwalior",3,Deluxe,4521,1,0,1,4521,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",3,13563,15-05-2022,12-05-2022
